Date,DEXUSEU
8/30/2021,1.1795
8/31/2021,1.18
9/1/2021,1.185
9/2/2021,1.1858
9/3/2021,1.1884
9/6/2021,1.1884
9/7/2021,1.1849
9/8/2021,1.1818
9/9/2021,1.1827
9/10/2021,1.1821
9/13/2021,1.1809
9/14/2021,1.1824
9/15/2021,1.1811
9/16/2021,1.1764
9/17/2021,1.1734
9/20/2021,1.1729
9/21/2021,1.1724
9/22/2021,1.1739
9/23/2021,1.1735
9/24/2021,1.1715
9/27/2021,1.1702
9/28/2021,1.1681
9/29/2021,1.1612
9/30/2021,1.1577
10/1/2021,1.1598
10/4/2021,1.1622
10/5/2021,1.1609
10/6/2021,1.1546
10/7/2021,1.1561
10/8/2021,1.1572
10/11/2021,1.1572
10/12/2021,1.1541
10/13/2021,1.1568
10/14/2021,1.1591
10/15/2021,1.1594
10/18/2021,1.1609
10/19/2021,1.1632
10/20/2021,1.1643
10/21/2021,1.1643
10/22/2021,1.1632
10/25/2021,1.1609
10/26/2021,1.159
10/27/2021,1.16
10/28/2021,1.1685
10/29/2021,1.1552
11/1/2021,1.1591
11/2/2021,1.1581
11/3/2021,1.1584
11/4/2021,1.1546
11/5/2021,1.1554
11/8/2021,1.159
11/9/2021,1.1589
11/10/2021,1.1517
11/11/2021,1.1517
11/12/2021,1.1443
11/15/2021,1.1421
11/16/2021,1.1333
11/17/2021,1.1322
11/18/2021,1.1358
11/19/2021,1.1318
11/22/2021,1.126
11/23/2021,1.1265
11/24/2021,1.1196
11/25/2021,1.1196
11/26/2021,1.1302
11/29/2021,1.1261
11/30/2021,1.1287
12/1/2021,1.1323
12/2/2021,1.1306
12/3/2021,1.1308
12/6/2021,1.1282
12/7/2021,1.1247
12/8/2021,1.133
12/9/2021,1.1285
12/10/2021,1.1312
12/13/2021,1.1298
12/14/2021,1.1267
12/15/2021,1.1261
12/16/2021,1.1309
12/17/2021,1.1277
12/20/2021,1.1298
12/21/2021,1.1272
12/22/2021,1.1324
12/23/2021,1.132
12/24/2021,1.132
12/27/2021,1.1329
12/28/2021,1.1314
12/29/2021,1.1337
12/30/2021,1.1318
12/31/2021,1.1318
1/3/2022,1.129
1/4/2022,1.1296
1/5/2022,1.1335
1/6/2022,1.1307
1/7/2022,1.1358
1/10/2022,1.1328
1/11/2022,1.1363
1/12/2022,1.1431
1/13/2022,1.1464
1/14/2022,1.1414
1/17/2022,1.1414
1/18/2022,1.1336
1/19/2022,1.1346
1/20/2022,1.1336
1/21/2022,1.1346
1/24/2022,1.131
1/25/2022,1.1283
1/26/2022,1.1279
1/27/2022,1.1141
1/28/2022,1.116
1/31/2022,1.1212
2/1/2022,1.1239
2/2/2022,1.1299
2/3/2022,1.1425
2/4/2022,1.1455
2/7/2022,1.1434
2/8/2022,1.1416
2/9/2022,1.1435
